raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
HOUSTW,ordinary_stable,4,4,198,0,0,612,710.5,0.99626401,1,0.3314328242,0.3754379194,330,0,0,0,0,0,0,0,0,False,pass,,,98,54,88
INDPRO,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.007986258931,0.008323417606,610,0,0,0,0,0,0,0,0,False,pass,,,43,40,41
INVEST,ordinary_stable,6,6,198,0,0,610,708.5,0.9967320261,0.9971850795,0.01075334507,0.01088851065,608,0,0,0,0,0,0,0,0,False,pass,,,17,69,49
IPB51222S,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.03062107197,0.0335857491,609,0,0,0,0,0,0,0,0,False,pass,,,43,40,65
IPBUSEQ,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.01195385745,0.01227033195,609,0,0,0,0,0,0,0,0,False,pass,,,43,40,54
IPCONGD,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.008752706618,0.009038037168,608,0,0,0,0,0,0,0,0,False,pass,,,43,40,42
IPDCONGD,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.02251381761,0.02325022521,610,0,0,0,0,0,0,0,0,False,pass,,,43,40,62
IPDMAT,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.01674325955,0.01767937986,611,0,0,0,0,0,0,0,0,False,pass,,,43,40,56
IPFINAL,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.007958060009,0.00812468957,608,0,0,0,0,0,0,0,0,False,pass,,,43,40,40
IPFPNSS,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.007315086574,0.007495564194,605,0,0,0,0,0,0,0,0,False,pass,,,43,40,38
IPFUELS,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.01933531082,0.02019796641,609,0,0,0,0,0,0,0,0,False,pass,,,43,40,59
IPMANSICS,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.008821795795,0.009220792492,610,0,0,0,0,0,0,0,0,False,pass,,,43,40,44
IPMAT,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.01101790652,0.01160807982,610,0,0,0,0,0,0,0,0,False,pass,,,43,40,51
